;Matricula;Mes_Recebimento;Padrao_Antigo;R1002_Antiga;R1007_Antiga;R1028_Antiga;R1170_Antiga;R1067_Antiga;R1013_Antiga;R1014_Antiga;R1002_Nova;R1007_Nova;R1028_Nova;R1170_Nova;R1067_Nova
;11020;102023;B69-E;36103.43;1083.1;13719.3;2888.27;5262.59;0;0;36103.43;1083.1;13719.3;2888.27;5262.59
;11025;102023;B69-E;36103.43;1083.1;13358.26;5415.51;5262.59;12529.98;16706.22;36103.43;1083.1;13358.26;5415.51;5262.59
;11099;102023;B69-E;36103.43;1083.1;13358.26;5415.51;5262.59;0;0;36103.43;1083.1;13358.26;5415.51;5262.59
;11108;102023;B69-E;36103.43;1083.1;10469.99;5415.51;0;0;0;36103.43;1083.1;10469.99;5415.51;0
;11140;102023;B69-E;36103.43;1083.1;10108.96;5415.51;0;13883.64;0;36103.43;1083.1;10469.99;5415.51;0
;11144;102023;B69-E;36103.43;1083.1;10108.96;5415.51;5262.59;0;0;36103.43;1083.1;10469.99;5415.51;5262.59
;11200;102023;B69-E;36103.43;1083.1;11553.09;4332.41;0;0;0;36103.43;1083.1;11553.09;4332.41;0
;11201;102023;D39-E;16240.32;487.21;4709.69;2436.04;3342.25;0;0;16240.32;487.21;4709.69;2436.04;3342.25
;11204;102023;D39-E;16240.32;487.21;5521.7;2436.04;3455.93;0;0;16240.32;487.21;5521.7;2436.04;3455.93
;11209;102023;D39-E;16240.32;487.21;5846.51;2354.84;3967.24;0;0;16240.32;487.21;6008.91;2354.84;3989.97
;11210;102023;D39-E;16240.32;487.21;6008.91;2436.04;3524.14;9565.54;11579.34;16240.32;487.21;6008.91;2436.04;3524.14
;11214;102023;C54-E;24214.29;726.43;7506.42;3632.14;0;0;0;24214.29;726.43;7506.42;3632.14;0
;11215;102023;C54-E;24214.29;726.43;7264.28;3632.14;5017.19;12529.98;16485.08;24214.29;726.43;7264.28;3632.14;5017.19
;11217;102023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11218;102023;D39-E;16240.32;487.21;5196.9;2436.04;3410.46;0;0;16240.32;487.21;5196.9;2436.04;3410.46
;11223;102023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;11225;102023;A69-E;36103.43;1083.1;14802.4;5415.51;5262.59;0;0;36103.43;1083.1;14802.4;5415.51;5262.59
;11229;102023;D39-E;16240.32;487.21;6171.32;2436.04;3546.88;0;0;16240.32;487.21;6171.32;2436.04;3546.88
