;Matricula;Mes;Padrao;Remuneracao_Base_Antiga;R1013_Antiga;R1014_Antiga;Remuneracao_Base_Nova
;11020;072023;B69-E;0;0;0;36103.43
;11025;072023;B69-E;0;0;0;36103.43
;11099;072023;B69-E;0;0;0;36103.43
;11108;072023;B69-E;0;0;0;36103.43
;11140;072023;B69-E;0;0;0;36103.43
;11144;072023;B69-E;0;0;0;36103.43
;11200;072023;B69-E;0;0;0;36103.43
;11201;072023;D39-E;0;0;0;16240.32
;11204;072023;D39-E;0;0;0;16240.32
;11209;072023;D39-E;0;0;0;16240.32
;11210;072023;D39-E;0;0;0;16240.32
;11214;072023;C54-E;0;0;0;24214.29
;11215;072023;C54-E;0;0;0;24214.29
;11217;072023;D39-E;0;0;0;16240.32
;11218;072023;D39-E;0;0;0;16240.32
;11223;072023;D39-E;0;0;0;16240.32
;11225;072023;A69-E;0;0;0;36103.43
;11229;072023;D39-E;0;0;0;16240.32
;11236;072023;C54-E;0;0;0;24214.29
;11237;072023;A69-E;0;0;0;36103.43
;11238;072023;C54-E;0;0;0;24214.29
;11239;072023;C54-E;0;0;0;24214.29
;11240;072023;C54-E;0;0;0;24214.29
;11257;072023;D39-E;0;0;0;16240.32
;11258;072023;D39-E;0;0;0;16240.32
;11265;072023;D39-E;0;0;0;16240.32
;11268;072023;C54-E;0;0;0;24214.29
;11275;072023;A69-E;0;0;0;36103.43
;11279;072023;D39-E;0;0;0;16240.32
;11289;072023;C54-E;0;0;0;24214.29
;11298;072023;D39-E;0;0;0;16240.32
;11304;072023;C54-E;0;0;0;24214.29
;11306;072023;D39-E;0;0;0;16240.32
;11308;072023;D39-E;0;0;0;16240.32
;11311;072023;C54-E;0;0;0;24214.29
;11313;072023;D39-E;0;0;0;16240.32
;11315;072023;C54-E;0;0;0;24214.29
;11316;072023;D39-E;0;0;0;16240.32
;11326;072023;D39-E;0;0;0;16240.32
;11336;072023;C54-E;0;0;0;24214.29
;11337;072023;E24-E;0;0;0;10892.27
;11341;072023;D39-E;0;0;0;16240.32
;11343;072023;B69-E;0;0;0;36103.43
;11344;072023;C54-E;0;0;0;24214.29
;11357;072023;C54-E;0;0;0;24214.29
;11362;072023;C54-E;0;0;0;24214.29
;11363;072023;C54-E;0;0;0;24214.29
;11366;072023;E24-E;0;0;0;10892.27
;11367;072023;E24-E;0;0;0;10892.27
;11370;072023;C54-E;0;0;0;24214.29
;11373;072023;E24-E;0;0;0;10892.27
;11377;072023;E24-E;0;0;0;10892.27
;11378;072023;D39-E;0;0;0;16240.32
;11381;072023;E24-E;0;0;0;10892.27
;11382;072023;D39-E;0;0;0;16240.32
;11391;072023;C54-E;0;0;0;24214.29
;11398;072023;C54-E;0;0;0;24214.29
;11409;072023;D39-E;0;0;0;16240.32
;11412;072023;C54-E;0;0;0;24214.29
;11414;072023;E24-E;0;0;0;10892.27
;11419;072023;C54-E;0;0;0;24214.29
;11423;072023;C54-E;0;0;0;24214.29
;11436;072023;B69-E;0;0;0;36103.43
;11437;072023;D39-E;0;0;0;16240.32
;11439;072023;C54-E;0;0;0;24214.29
;11452;072023;D39-E;0;0;0;16240.32
;11455;072023;C54-E;0;0;0;24214.29
;11459;072023;E24-E;0;0;0;10892.27
;11462;072023;C54-E;0;0;0;24214.29
;11477;072023;E24-E;0;0;0;10892.27
;11514;072023;E24-E;0;0;0;10892.27
;11520;072023;E24-E;0;0;0;10892.27
;11527;072023;E24-E;0;0;0;10892.27
;11529;072023;E24-E;0;0;0;10892.27
;11531;072023;E24-E;0;0;0;10892.27
;11540;072023;E24-E;0;0;0;10892.27
;11546;072023;B69-E;0;0;0;36103.43
;11556;072023;A69-E;0;0;0;36103.43
;11559;072023;D39-E;0;0;0;16240.32
;11567;072023;C54-E;0;0;0;24214.29
;11569;072023;C54-E;0;0;0;24214.29
;11606;072023;D39-E;0;0;0;16240.32
;11607;072023;A69-E;0;0;0;36103.43
;11614;072023;D39-E;0;0;0;16240.32
;11616;072023;C54-E;0;0;0;24214.29
;11617;072023;D39-E;0;0;0;16240.32
;11625;072023;B69-E;0;0;0;36103.43
;11627;072023;D39-E;0;0;0;16240.32
;11633;072023;D39-E;0;0;0;16240.32
;11635;072023;D39-E;0;0;0;16240.32
;11638;072023;C54-E;0;0;0;24214.29
;11643;072023;D39-E;0;0;0;16240.32
;11651;072023;D39-E;0;0;0;16240.32
;11657;072023;C54-E;0;0;0;24214.29
;11664;072023;C54-E;0;0;0;24214.29
;11671;072023;E24-E;0;0;0;10892.27
;11675;072023;E24-E;0;0;0;10892.27
;11681;072023;E24-E;0;0;0;10892.27
;11686;072023;C54-E;0;0;0;24214.29
;11697;072023;E24-E;0;0;0;10892.27
;11698;072023;D39-E;0;0;0;16240.32
;11699;072023;E24-E;0;0;0;10892.27
;11701;072023;E24-E;0;0;0;10892.27
;11702;072023;E24-E;0;0;0;10892.27
;11705;072023;E24-E;0;0;0;10892.27
;11717;072023;E24-E;0;0;0;10892.27
;11718;072023;E24-E;0;0;0;10892.27
;11728;072023;E24-E;0;0;0;10892.27
;11729;072023;E24-E;0;0;0;10892.27
;11739;072023;E24-E;0;0;0;10892.27
;11742;072023;E24-E;0;0;0;10892.27
;11743;072023;E24-E;0;0;0;10892.27
;11750;072023;E24-E;0;0;0;10892.27
;11752;072023;B69-E;0;0;0;36103.43
;11759;072023;E24-E;0;0;0;10892.27
;11763;072023;D39-E;0;0;0;16240.32
;11770;072023;E24-E;0;0;0;10892.27
;11773;072023;D39-E;0;0;0;16240.32
;11778;072023;E24-E;0;0;0;10892.27
;11781;072023;E24-E;0;0;0;10892.27
;11787;072023;D39-E;0;0;0;16240.32
;11797;072023;D39-E;0;0;0;16240.32
;11840;072023;E24-E;0;0;0;10892.27
;11845;072023;E24-E;0;0;0;10892.27
;11859;072023;A69-E;0;0;0;36103.43
;11860;072023;C54-E;0;0;0;24214.29
;11863;072023;B69-E;0;0;0;36103.43
;11865;072023;D39-E;0;0;0;16240.32
;11868;072023;C54-E;0;0;0;24214.29
;11873;072023;D39-E;0;0;0;16240.32
;11875;072023;C54-E;0;0;0;24214.29
;11878;072023;E24-E;0;0;0;10892.27
;11879;072023;E24-E;0;0;0;10892.27
;11880;072023;C54-E;0;0;0;24214.29
;11887;072023;E24-E;0;0;0;10892.27
;11889;072023;E24-E;0;0;0;10892.27
;11890;072023;E24-E;0;0;0;10892.27
;11900;072023;B69-E;0;0;0;36103.43
;11907;072023;D39-E;0;0;0;16240.32
;11908;072023;C54-E;0;0;0;24214.29
;11914;072023;D39-E;0;0;0;16240.32
;11920;072023;C54-E;0;0;0;24214.29
;11922;072023;D39-E;0;0;0;16240.32
;11925;072023;D39-E;0;0;0;16240.32
;11927;072023;E24-E;0;0;0;10892.27
;11928;072023;E24-E;0;0;0;10892.27
;11929;072023;E24-E;0;0;0;10892.27
;11930;072023;A69-E;0;0;0;36103.43
;11939;072023;C54-E;0;0;0;24214.29
;11952;072023;D39-E;0;0;0;16240.32
;11953;072023;B69-E;0;0;0;36103.43
;11954;072023;D39-E;0;0;0;16240.32
;11958;072023;E24-E;0;0;0;10892.27
;11971;072023;D39-E;0;0;0;16240.32
;11972;072023;D39-E;0;0;0;16240.32
;11976;072023;D39-E;0;0;0;16240.32
;11982;072023;C54-E;0;0;0;24214.29
;11994;072023;C54-E;0;0;0;24214.29
;11995;072023;D39-E;0;0;0;16240.32
;12002;072023;C54-E;0;0;0;24214.29
;12003;072023;E24-E;0;0;0;10892.27
;12014;072023;C54-E;0;0;0;24214.29
;12015;072023;C54-E;0;0;0;24214.29
;12019;072023;C54-E;0;0;0;24214.29
;12021;072023;C54-E;0;0;0;24214.29
;12025;072023;C54-E;0;0;0;24214.29
;12028;072023;D39-E;0;0;0;16240.32
;12032;072023;D39-E;0;0;0;16240.32
;12034;072023;D39-E;0;0;0;16240.32
;12043;072023;D39-E;0;0;0;16240.32
;12054;072023;D39-E;0;0;0;16240.32
;12056;072023;C54-E;0;0;0;24214.29
;12058;072023;D39-E;0;0;0;16240.32
;12060;072023;E24-E;0;0;0;10892.27
;12064;072023;D39-E;0;0;0;16240.32
;12068;072023;D39-E;0;0;0;16240.32
;12069;072023;D39-E;0;0;0;16240.32
;12073;072023;D39-E;0;0;0;16240.32
;12076;072023;D39-E;0;0;0;16240.32
;12137;072023;E24-E;0;0;0;10892.27
;12138;072023;E24-E;0;0;0;10892.27
;12150;072023;E24-E;0;0;0;10892.27
;12234;072023;D39-E;0;0;0;16240.32
;12238;072023;D39-E;0;0;0;16240.32
;12239;072023;D39-E;0;0;0;16240.32
;12260;072023;D39-E;0;0;0;16240.32
;12291;072023;C54-E;0;0;0;24214.29
;12293;072023;D39-E;0;0;0;16240.32
;12315;072023;E24-E;0;0;0;10892.27
;12321;072023;D39-E;0;0;0;16240.32
;12354;072023;E24-E;0;0;0;10892.27
;12356;072023;D39-E;0;0;0;16240.32
;12369;072023;E24-E;0;0;0;10892.27
;12371;072023;B69-E;0;0;0;36103.43
;12373;072023;C54-E;0;0;0;24214.29
;12374;072023;C54-E;0;0;0;24214.29
;12375;072023;D39-E;0;0;0;16240.32
;12376;072023;E24-E;0;0;0;10892.27
;12386;072023;C54-E;0;0;0;24214.29
;12469;072023;C54-E;0;0;0;24214.29
;12475;072023;C54-E;0;0;0;24214.29
;12481;072023;C54-E;0;0;0;24214.29
;12485;072023;A69-E;0;0;0;36103.43
;12488;072023;C54-E;0;0;0;24214.29
;12490;072023;E24-E;0;0;0;10892.27
;12494;072023;E24-E;0;0;0;10892.27
;12507;072023;C54-E;0;0;0;24214.29
;12511;072023;D39-E;0;0;0;16240.32
;12517;072023;D39-E;0;0;0;16240.32
;12527;072023;B69-E;0;0;0;36103.43
;12530;072023;D39-E;0;0;0;16240.32
;12531;072023;B69-E;0;0;0;36103.43
;12533;072023;C54-E;0;0;0;24214.29
;12534;072023;B69-E;0;0;0;36103.43
;12540;072023;B69-E;0;0;0;36103.43
;12548;072023;C54-E;0;0;0;24214.29
;12551;072023;C54-E;0;0;0;24214.29
;12563;072023;B64-E;0;0;0;31910.18
;12570;072023;C54-E;0;0;0;24214.29
;12581;072023;C54-E;0;0;0;24214.29
;12599;072023;C54-E;0;0;0;24214.29
;12610;072023;C54-E;0;0;0;24214.29
;12613;072023;C54-E;0;0;0;24214.29
;12635;072023;D39-E;0;0;0;16240.32
;12651;072023;D39-E;0;0;0;16240.32
;12657;072023;D39-E;0;0;0;16240.32
;12665;072023;A69-E;0;0;0;36103.43
;12799;072023;C54-E;0;0;0;24214.29
;12803;072023;C54-E;0;0;0;24214.29
;12817;072023;C54-E;0;0;0;24214.29
;12823;072023;C54-E;0;0;0;24214.29
;12858;072023;C54-E;0;0;0;24214.29
;12872;072023;C54-E;0;0;0;24214.29
;12926;072023;D39-E;0;0;0;16240.32
;12941;072023;D39-E;0;0;0;16240.32
;12961;072023;D39-E;0;0;0;16240.32
;13095;072023;B69-E;0;0;0;36103.43
;13098;072023;B69-E;0;0;0;36103.43
;13102;072023;B69-E;0;0;0;36103.43
;13105;072023;B69-E;0;0;0;36103.43
;13109;072023;B69-E;0;0;0;36103.43
;13111;072023;B69-E;0;0;0;36103.43
;13117;072023;B69-E;0;0;0;36103.43
;13143;072023;B69-E;0;0;0;36103.43
;13150;072023;B69-E;0;0;0;36103.43
;13157;072023;D39-E;0;0;0;16240.32
;13160;072023;C54-E;0;0;0;24214.29
;13162;072023;C54-E;0;0;0;24214.29
;13171;072023;C54-E;0;0;0;24214.29
;13172;072023;C54-E;0;0;0;24214.29
;13173;072023;C54-E;0;0;0;24214.29
;13175;072023;D39-E;0;0;0;16240.32
;13177;072023;D39-E;0;0;0;16240.32
;13178;072023;E24-E;0;0;0;10892.27
;13179;072023;D39-E;0;0;0;16240.32
;13180;072023;D39-E;0;0;0;16240.32
;13182;072023;C54-E;0;0;0;24214.29
;13196;072023;E24-E;0;0;0;10892.27
;13197;072023;C54-E;0;0;0;24214.29
