Matricula;Classe;Padrao;DataIngPadrao;Dias_Desconto;Data_Progressao
13272;E;C54;20/07/2022;0;20/07/2023 00:00
13498;E;B65;23/07/2022;0;23/07/2023 00:00
14356;E;C53;07/07/2022;0;07/07/2023 00:00
16540;E;C51;09/07/2022;0;09/07/2023 00:00
16731;E;C50;23/05/2022;45;07/07/2023 00:00
16759;E;B65;18/07/2022;0;18/07/2023 00:00
16780;E;A65;09/07/2022;0;09/07/2023 00:00
16791;E;A65;14/07/2022;0;14/07/2023 00:00
16812;E;A65;18/07/2022;0;18/07/2023 00:00
16810;E;B65;25/07/2022;0;25/07/2023 00:00
16806;E;A65;27/06/2022;8;05/07/2023 00:00
16820;E;B65;03/07/2022;0;03/07/2023 00:00
16814;E;B65;29/07/2022;0;29/07/2023 00:00
16840;E;C50;15/07/2022;0;15/07/2023 00:00
16841;E;C50;13/07/2022;0;13/07/2023 00:00
16831;E;C50;10/07/2022;0;10/07/2023 00:00
16839;E;C50;01/07/2022; ;01/07/2023 00:00
16847;E;C50;01/07/2022; ;01/07/2023 00:00
16835;E;C50;05/07/2022;0;05/07/2023 00:00
16832;E;B65;26/07/2022;0;26/07/2023 00:00
16872;E;B65;15/07/2022;1;16/07/2023 00:00
18323;C;B62;31/07/2022; ;31/07/2023 00:00
19497;C;A60;15/07/2022;0;15/07/2023 00:00
22700;A;B49;23/07/2022; ;23/07/2023 00:00
22698;A;B49;23/07/2022; ;23/07/2023 00:00
22699;A;A49;23/07/2022; ;23/07/2023 00:00
22701;A;A49;23/07/2022; ;23/07/2023 00:00
22702;A;C34;24/07/2022;1;25/07/2023 00:00
22707;A;A49;28/07/2022; ;28/07/2023 00:00
22705;A;B49;25/07/2022; ;25/07/2023 00:00
22703;A;A49;26/07/2022; ;26/07/2023 00:00
22709;A;A49;28/07/2022; ;28/07/2023 00:00
22708;A;B49;28/07/2022; ;28/07/2023 00:00
22711;A;A49;29/07/2022; ;29/07/2023 00:00
22712;A;B49;30/07/2022; ;30/07/2023 00:00
22945;A;A46;07/07/2020; ;07/07/2023 00:00
22947;A;B46;15/07/2020; ;15/07/2023 00:00
22946;A;B46;28/07/2020; ;28/07/2023 00:00
10259;B;B34;;;
